,0
1576,1498
2565,1499
699,1500
1876,1501
2976,1502
5815,1503
4042,1504
1881,1505
1042,1506
1007,1507
1652,1508
1524,1509
2075,1510
2386,1511
4301,1512
2388,1513
5198,1514
472,1515
2145,1516
3418,1517
5698,1518
886,1519
3366,1520
4277,1521
3731,1522
4710,1523
5835,1524
3723,1525
913,1526
4080,1527
975,1528
4496,1529
717,1530
5304,1531
162,1532
5827,1533
20,1534
2852,1535
4842,1536
2187,1537
1476,1538
1085,1539
52,1540
1346,1541
129,1542
5570,1543
3402,1544
5474,1545
2253,1546
5323,1547
283,1548
298,1549
281,1550
1317,1551
980,1552
2541,1553
1135,1554
2931,1555
498,1556
1161,1557
2915,1558
5361,1559
4416,1560
2570,1561
1752,1562
108,1563
4490,1564
4386,1565
4909,1566
5788,1567
1117,1568
4942,1569
1393,1570
3812,1571
1948,1572
4885,1573
4915,1574
862,1575
1110,1576
3578,1577
5816,1578
2980,1579
484,1580
2660,1581
5085,1582
1182,1583
3421,1584
49,1585
1612,1586
3980,1587
2732,1588
1611,1589
1454,1590
3742,1591
5767,1592
2696,1593
5760,1594
1446,1595
5757,1596
3164,1597
4037,1598
3752,1599
2633,1600
4123,1601
4377,1602
3739,1603
122,1604
2986,1605
3385,1606
322,1607
3993,1608
3333,1609
4799,1610
1600,1611
5195,1612
4184,1613
4367,1614
355,1615
364,1616
5040,1617
2250,1618
1848,1619
1322,1620
1980,1621
1979,1622
4857,1623
5068,1624
3134,1625
417,1626
4967,1627
5803,1628
4769,1629
3318,1630
3733,1631
3386,1632
3387,1633
3315,1634
2577,1635
5808,1636
1512,1637
3707,1638
1906,1639
3706,1640
2181,1641
2755,1642
5423,1643
4901,1644
366,1645
522,1646
4143,1647
2376,1648
2525,1649
5228,1650
803,1651
384,1652
4237,1653
736,1654
734,1655
2477,1656
5699,1657
865,1658
3002,1659
4313,1660
3802,1661
5204,1662
4343,1663
1744,1664
4437,1665
3504,1666
1590,1667
1942,1668
3047,1669
641,1670
104,1671
3532,1672
2760,1673
2462,1674
4292,1675
3822,1676
3459,1677
1373,1678
4811,1679
4671,1680
5643,1681
5185,1682
5184,1683
1309,1684
2902,1685
4086,1686
5206,1687
4232,1688
1880,1689
4694,1690
86,1691
2434,1692
1947,1693
4369,1694
3512,1695
627,1696
4326,1697
1778,1698
1029,1699
3242,1700
370,1701
1153,1702
372,1703
5331,1704
1950,1705
4703,1706
2635,1707
2195,1708
190,1709
189,1710
1096,1711
715,1712
5316,1713
5275,1714
4510,1715
5567,1716
1284,1717
5601,1718
4678,1719
5021,1720
4357,1721
3547,1722
1256,1723
4869,1724
1301,1725
5624,1726
2081,1727
2297,1728
5265,1729
1683,1730
4552,1731
4561,1732
4556,1733
4554,1734
4573,1735
2144,1736
1631,1737
2854,1738
4666,1739
4158,1740
838,1741
3271,1742
391,1743
2189,1744
2042,1745
5766,1746
4749,1747
5038,1748
781,1749
926,1750
701,1751
784,1752
2005,1753
692,1754
2218,1755
3661,1756
727,1757
702,1758
694,1759
5740,1760
693,1761
695,1762
696,1763
2817,1764
5016,1765
5671,1766
2410,1767
5253,1768
5159,1769
678,1770
2030,1771
1004,1772
4705,1773
2898,1774
4065,1775
1725,1776
4889,1777
4827,1778
2482,1779
5846,1780
4653,1781
1537,1782
1233,1783
3018,1784
5123,1785
2114,1786
1210,1787
2092,1788
4960,1789
544,1790
4989,1791
430,1792
5454,1793
3736,1794
1552,1795
2479,1796
756,1797
4886,1798
1351,1799
5191,1800
2766,1801
4171,1802
1063,1803
1066,1804
2315,1805
1972,1806
5422,1807
2691,1808
3572,1809
2122,1810
5409,1811
2671,1812
1208,1813
814,1814
1386,1815
3579,1816
3815,1817
2156,1818
3369,1819
5082,1820
1722,1821
1513,1822
2430,1823
1969,1824
3276,1825
3270,1826
274,1827
2125,1828
5558,1829
3177,1830
1235,1831
3968,1832
3995,1833
2371,1834
5594,1835
133,1836
5051,1837
4267,1838
2213,1839
1535,1840
1121,1841
1533,1842
2538,1843
3336,1844
3156,1845
2987,1846
5258,1847
2450,1848
2302,1849
2265,1850
2708,1851
4803,1852
4548,1853
2354,1854
4903,1855
1026,1856
2821,1857
2363,1858
3142,1859
5436,1860
3149,1861
5149,1862
1949,1863
3463,1864
356,1865
5578,1866
1136,1867
40,1868
1358,1869
1039,1870
1665,1871
4,1872
1832,1873
3855,1874
5492,1875
235,1876
3099,1877
5174,1878
5576,1879
4376,1880
3597,1881
2786,1882
2012,1883
3334,1884
3655,1885
254,1886
3145,1887
2454,1888
3289,1889
4492,1890
2542,1891
5151,1892
2342,1893
148,1894
5164,1895
3446,1896
936,1897
2672,1898
146,1899
147,1900
2275,1901
2021,1902
1835,1903
3236,1904
2901,1905
1329,1906
2134,1907
5192,1908
2124,1909
5665,1910
1288,1911
1289,1912
2038,1913
3605,1914
5306,1915
287,1916
5166,1917
4514,1918
4409,1919
3562,1920
5620,1921
4189,1922
4081,1923
3538,1924
1271,1925
1400,1926
2407,1927
2037,1928
1724,1929
24,1930
4765,1931
4192,1932
2847,1933
194,1934
192,1935
3560,1936
5305,1937
2693,1938
5773,1939
1456,1940
543,1941
3930,1942
3931,1943
2640,1944
1927,1945
1928,1946
4859,1947
1195,1948
2632,1949
4279,1950
4094,1951
1144,1952
1109,1953
1907,1954
1401,1955
5842,1956
8,1957
376,1958
3773,1959
2453,1960
3557,1961
2730,1962
2121,1963
1339,1964
3293,1965
3487,1966
2382,1967
2952,1968
2903,1969
249,1970
3972,1971
155,1972
2636,1973
115,1974
3488,1975
181,1976
2293,1977
3178,1978
5207,1979
1441,1980
243,1981
5417,1982
242,1983
5592,1984
5358,1985
5030,1986
3413,1987
2725,1988
2944,1989
2513,1990
1449,1991
239,1992
4972,1993
3457,1994
5395,1995
5672,1996
4508,1997
4045,1998
1865,1999
2258,2000
1368,2001
1203,2002
4477,2003
4029,2004
5652,2005
3206,2006
3608,2007
575,2008
1943,2009
2373,2010
1944,2011
576,2012
3519,2013
4157,2014
2049,2015
2237,2016
635,2017
2985,2018
2927,2019
2236,2020
1878,2021
5257,2022
3996,2023
1132,2024
2673,2025
3308,2026
1856,2027
4128,2028
5755,2029
331,2030
326,2031
4748,2032
1550,2033
2415,2034
3464,2035
2886,2036
5856,2037
584,2038
5267,2039
4730,2040
4254,2041
1414,2042
264,2043
3849,2044
3045,2045
3967,2046
3403,2047
2711,2048
3044,2049
3957,2050
3281,2051
2193,2052
195,2053
1382,2054
1741,2055
4543,2056
191,2057
2153,2058
2272,2059
2271,2060
570,2061
507,2062
4805,2063
2921,2064
5109,2065
1392,2066
2508,2067
3970,2068
4383,2069
352,2070
5430,2071
598,2072
3424,2073
400,2074
3117,2075
1217,2076
786,2077
5114,2078
2239,2079
2240,2080
1664,2081
4978,2082
5683,2083
3267,2084
3299,2085
3835,2086
2981,2087
3767,2088
5449,2089
3836,2090
3266,2091
935,2092
5173,2093
1146,2094
5743,2095
2806,2096
1584,2097
3285,2098
3793,2099
4063,2100
2993,2101
1929,2102
3450,2103
1603,2104
1468,2105
5111,2106
1624,2107
4987,2108
1347,2109
3330,2110
3327,2111
2613,2112
3227,2113
613,2114
5153,2115
3775,2116
3157,2117
606,2118
4936,2119
4771,2120
3303,2121
3301,2122
1937,2123
5002,2124
3286,2125
2763,2126
3269,2127
2390,2128
1578,2129
1213,2130
1196,2131
3009,2132
5294,2133
874,2134
3442,2135
3686,2136
3430,2137
3434,2138
3687,2139
3433,2140
3436,2141
1065,2142
2967,2143
1298,2144
645,2145
3220,2146
5715,2147
5431,2148
5078,2149
1616,2150
1771,2151
960,2152
5368,2153
5377,2154
5371,2155
5380,2156
3558,2157
506,2158
4072,2159
5188,2160
5644,2161
2149,2162
493,2163
508,2164
3629,2165
2086,2166
2593,2167
885,2168
2058,2169
5019,2170
4352,2171
1788,2172
2937,2173
4503,2174
3394,2175
1434,2176
4334,2177
5636,2178
4739,2179
4390,2180
1644,2181
4464,2182
1702,2183
2929,2184
5504,2185
5444,2186
5440,2187
4727,2188
4726,2189
3521,2190
3522,2191
4153,2192
4023,2193
3520,2194
4336,2195
4689,2196
4838,2197
3425,2198
3340,2199
5574,2200
5220,2201
4421,2202
971,2203
5058,2204
5057,2205
4366,2206
3007,2207
3813,2208
3255,2209
4460,2210
3926,2211
3924,2212
3925,2213
968,2214
733,2215
4853,2216
3197,2217
4214,2218
1303,2219
4533,2220
2890,2221
2217,2222
2642,2223
2242,2224
1484,2225
5855,2226
2320,2227
1307,2228
5706,2229
1663,2230
82,2231
5640,2232
1410,2233
447,2234
2608,2235
2192,2236
653,2237
4048,2238
4013,2239
5401,2240
5469,2241
876,2242
1604,2243
3651,2244
17,2245
5446,2246
4999,2247
5527,2248
934,2249
5014,2250
2199,2251
1811,2252
4488,2253
1077,2254
842,2255
3088,2256
4756,2257
3700,2258
449,2259
1838,2260
3684,2261
5414,2262
5424,2263
3779,2264
4393,2265
4392,2266
2071,2267
5693,2268
1758,2269
846,2270
1743,2271
1518,2272
3324,2273
1912,2274
2938,2275
4670,2276
2924,2277
921,2278
4679,2279
1580,2280
198,2281
1579,2282
3389,2283
3797,2284
679,2285
2314,2286
1754,2287
1792,2288
660,2289
1412,2290
5557,2291
4122,2292
5288,2293
138,2294
5714,2295
1377,2296
1490,2297
3314,2298
3079,2299
3113,2300
4134,2301
3944,2302
1609,2303
70,2304
4786,2305
338,2306
4342,2307
1521,2308
4467,2309
1815,2310
4482,2311
4965,2312
4935,2313
4195,2314
120,2315
4981,2316
3740,2317
4044,2318
3806,2319
3809,2320
3805,2321
2368,2322
979,2323
5694,2324
5177,2325
394,2326
5116,2327
553,2328
5118,2329
5372,2330
5363,2331
5784,2332
1283,2333
5429,2334
3860,2335
5406,2336
3748,2337
5413,2338
4124,2339
1011,2340
2291,2341
2290,2342
5254,2343
4975,2344
4708,2345
3053,2346
2748,2347
2358,2348
4516,2349
4515,2350
75,2351
526,2352
3135,2353
178,2354
2470,2355
477,2356
2026,2357
3158,2358
649,2359
1148,2360
3952,2361
3951,2362
3460,2363
4181,2364
163,2365
2641,2366
231,2367
5545,2368
2262,2369
2884,2370
4305,2371
1320,2372
3437,2373
3231,2374
46,2375
3405,2376
912,2377
3953,2378
3955,2379
2734,2380
2752,2381
2935,2382
3462,2383
1774,2384
1710,2385
4559,2386
5519,2387
5321,2388
414,2389
3160,2390
4882,2391
509,2392
2191,2393
2402,2394
2110,2395
5708,2396
977,2397
850,2398
1491,2399
5707,2400
2316,2401
1796,2402
2384,2403
4365,2404
3263,2405
318,2406
1221,2407
2350,2408
571,2409
4419,2410
4073,2411
2837,2412
5606,2413
3098,2414
308,2415
2655,2416
2280,2417
5242,2418
5097,2419
4834,2420
2736,2421
1287,2422
5010,2423
73,2424
2943,2425
2896,2426
3890,2427
1193,2428
5201,2429
1706,2430
5713,2431
2381,2432
301,2433
268,2434
5739,2435
362,2436
3759,2437
766,2438
765,2439
5044,2440
2946,2441
1721,2442
4151,2443
346,2444
4684,2445
4654,2446
5029,2447
288,2448
5190,2449
5534,2450
5433,2451
4427,2452
5393,2453
1081,2454
258,2455
2052,2456
2055,2457
3623,2458
2194,2459
4651,2460
1877,2461
1720,2462
290,2463
1716,2464
5580,2465
5568,2466
4223,2467
2762,2468
2105,2469
4236,2470
4233,2471
3005,2472
3182,2473
4152,2474
3180,2475
3948,2476
2604,2477
1840,2478
3008,2479
3918,2480
3563,2481
3916,2482
3914,2483
2900,2484
1459,2485
3911,2486
3312,2487
3309,2488
3567,2489
3932,2490
3933,2491
4047,2492
805,2493
2829,2494
5577,2495
4578,2496
5845,2497
3663,2498
3561,2499
4375,2500
1385,2501
5400,2502
4695,2503
4191,2504
4773,2505
1511,2506
208,2507
2115,2508
3136,2509
3109,2510
4410,2511
4289,2512
205,2513
1049,2514
4149,2515
2862,2516
4333,2517
2930,2518
680,2519
4830,2520
4831,2521
5830,2522
5829,2523
123,2524
5483,2525
5783,2526
5238,2527
304,2528
4335,2529
5484,2530
972,2531
1326,2532
3311,2533
3726,2534
903,2535
3610,2536
896,2537
4682,2538
909,2539
1646,2540
2802,2541
